Itemset,Expected Probability,Support
I1,0.80,0.91
I1,I11,0.72,0.64
I1,I2,I9,0.63,0.51
I1,I4,I16,0.55,0.49
I1,I2,I3,I5,0.47,0.35
I1,I2,I4,I12,0.38,0.29
I2,I5,I10,I16,0.30,0.24
I1,I2,I5,I7,I8,0.13,0.08
I1,I4,I5,I8,I13,0.22,0.13
I1,I2,I5,I6,I7,I10,0.05,0.03
