Plik,Algorytm,Sr. czas (s),Sr. pamiêæ (MB),Sr. liczba zbiorów
synthetic_data_bardzo_duzy.csv,FPGrowth,2.7315,0.74,7576
synthetic_data_bardzo_duzy.csv,Apriori,2.6391,0.64,7576
synthetic_data_bardzo_duzy.csv,Eclat,2.7043,0.64,7576

synthetic_data_bazowy.csv,FPGrowth,0.7742,0.09,1461
synthetic_data_bazowy.csv,Apriori,0.7428,0.06,1461
synthetic_data_bazowy.csv,Eclat,0.7643,0.06,1461

synthetic_data_duzy.csv,FPGrowth,0.8227,0.53,5612
synthetic_data_duzy.csv,Apriori,0.8107,0.44,5612
synthetic_data_duzy.csv,Eclat,0.8507,0.44,5612

synthetic_data_maly.csv,FPGrowth,0.0308,0.01,349
synthetic_data_maly.csv,Apriori,0.0307,0.01,349
synthetic_data_maly.csv,Eclat,0.0309,0.01,349

synthetic_data_rowny.csv,FPGrowth,0.0585,0.01,211
synthetic_data_rowny.csv,Apriori,0.0573,0.01,211
synthetic_data_rowny.csv,Eclat,0.0611,0.01,211

synthetic_data_skupiony.csv,FPGrowth,0.0637,0.02,410
synthetic_data_skupiony.csv,Apriori,0.0619,0.02,410
synthetic_data_skupiony.csv,Eclat,0.0622,0.02,410

synthetic_data_sredni.csv,FPGrowth,0.1447,0.11,1777
synthetic_data_sredni.csv,Apriori,0.1427,0.08,1777
synthetic_data_sredni.csv,Eclat,0.1444,0.08,1777

synthetic_data_1mln_real.csv,FPGrowth,0.0004,0.00,55
synthetic_data_1mln_real.csv,Apriori,0.0000,0.00,55
synthetic_data_1mln_real.csv,Eclat,0.0000,0.00,55

